	"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
51.АС.1.3622	Бетонные и ж/б конструкции	Устройство бетонной подготовки из бетона В10, W4, толщиной 100мм 	3,3	0	3,3	м3	1,37
51.АС.1.3623	Бетонные и ж/б конструкции	Устройство бетонных фундаментов из монолитного бетона класса В15, F150, W4 на сульфатостойком портландцементе, объемом до 3 м3	3,8	0	3,8	м3	2,84
51.АС.1.3624	Бетонные и ж/б конструкции	Устройство железобетонных фундаментов из монолитного бетона на сульфатостойком цементе, кл.В15, F150, W4, объемом до 3м3 	16,9	0	16,9	м3	4,22
51.АС.3.3641	Демонтаж	Разборка бетонного покрытия площадки толщиной 100мм	11,4	0	11,4	м3	1,48
51.АС.3.3642	Демонтаж	Разборка фундаментов железобетонных	13,22	0	13,22	м3	4,22
51.АС.4.3647	Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 2 группа грунтов ТЕР-2001 64	172	0	172	м3	0
51.АС.4.3648	Земляные работы. Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-034-2 (добавить 15м) ТЕР-2001 64	172	0	172	м3	0
51.АС.4.3649	Земляные работы. Обратная засыпка грунта	Обратная засыпка вручную пазух котлованов, группа грунтов 2	4	0	4	м3	1,68
51.АС.4.3650	Земляные работы. Обратная засыпка грунта	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 	172	0	172	м3	0,164
51.АС.5.3651	Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 3 ТЕР-2001 64	207	0	207	м3	0
51.АС.5.3652	Земляные работы. Разработка грунта	Доработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3 ТЕР-2001 64	5	0	5	м3	2,12
51.АС.5.3653	Земляные работы. Разработка грунта	Погрузка грунта на автомобили-самосвалы вручную, группа грунтов 3	5	0	5	м3	0,964
51.АС.5.3654	Земляные работы. Разработка грунта	Работа на отвале, группа грунтов 2-3	212	0	212	м3	0
51.АС.5.3655	Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 ТЕР-2001 64	176	0	176	м3	0
51.АС.8.3670	Покрытие площадки	Устройство песчаной подготовки толщиной 100мм 	30,2	0	30,2	м3	0,95
51.АС.8.3671	Покрытие площадки	Устройство бетонных покрытий из бетона В12,5, F150, W4, толщиной 100мм 	30,2	0	30,2	м3	0,228
51а.АС.1.3708	Бетонные и ж/б конструкции	Устройство бетонной подготовки из бетона В10, W4, толщиной 100мм 	0,7	0	0,7	м3	1,37
51а.АС.1.3709	Бетонные и ж/б конструкции	Устройство бетонных фундаментов из монолитного бетона класса В15, F150, W4 на сульфатостойком портландцементе, объемом до 3 м3 	2,6	0	2,6	м3	2,84
51а.АС.1.3710	Бетонные и ж/б конструкции	Устройство железобетонных фундаментов из монолитного бетона на сульфатостойком цементе, кл.В15, F150, W4, объемом до 3м3 	1,2	0	1,2	м3	4,22
51а.АС.3.3720	Земляные работы. Обратная засыпка грунта	Послойное (20см) трамбование пневматическими трамбовками, группа грунтов 2	13	0	13	м3	0,164
51а.АС.3.3721	Земляные работы. Обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	1	0	1	м3	1,94
51а.АС.3.3722	Земляные работы. Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-034-2 (добавить 15м) ТЕР-2001 64	13	0	13	м3	0
51а.АС.3.3723	Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 2 группа грунтов ТЕР-2001 64	13	0	13	м3	0
51а.АС.4.3724	Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 3 ТЕР-2001 64	17	0	17	м3	0
51а.АС.4.3725	Земляные работы. Разработка грунта	Доработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3 ТЕР-2001 64	1	0	1	м3	2,12
51а.АС.4.3726	Земляные работы. Разработка грунта	Погрузка грунта на автомобили-самосвалы вручную, группа грунтов 3	1	0	1	м3	0,964
51а.АС.4.3727	Земляные работы. Разработка грунта	Работа на отвале, группа грунтов 3 	18	0	18	м3	0
51а.АС.4.3728	Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 ТЕР-2001 64	14	0	14	м3	0
51а.АС.7.3740	Покрытие площадки	Устройство основания под плиты тротуарного типа из цементно-песчаной смеси сост. 1:10, толщ.50мм 	0,9	0	0,9	м3	0,137
51а.Т.3.3752	Теплоизоляция оборудования	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	0,3524	0	0,3524	м3	12,4
51а.Т.4.3758	Теплоизоляция трубопроводов	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	0,12	0	0,12	м3	12,4
189.АС.1.3785	Земляные работы. разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1	82	0	82	м3	0
189.АС.1.3786	Земляные работы. разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 3	779	0	779	м3	0
189.АС.1.3787	Земляные работы. разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3. Доработка вручную, зачистка дна и стенок с выкидкой грунта в котлованах и траншеях, разработанных механ	65	0	65	м3	2,12
189.АС.1.3788	Земляные работы. разработка грунта	Погрузка грунта на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2 	65	0	65	м3	0
189.АС.1.3789	Земляные работы. разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	854	0	854	м3	0
189.АС.1.3790	Земляные работы. разработка грунта	Работа на отвале, группа грунтов 2-3	926	0	926	м3	0
189.АС.2.3791	Земляные работы. обратная засыпка грунта	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 ТЕР-2001 64	789	0	789	м3	0
189.АС.2.3792	Земляные работы. обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1	65	0	65	м3	1,38
189.АС.2.3793	Земляные работы. обратная засыпка грунта	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 	789	0	789	м3	0,164
189.АС.3.3794	Бетонные и ж/б конструкции	Устройство бетонной подготовки В10 	3	0	3	м3	1,37
189.АС.3.3795	Бетонные и ж/б конструкции	Устройство фундаментных плит железобетонных плоских В15 	20	0	20	м3	2,1
189.АС.3.3801	Бетонные и ж/б конструкции	Устройство бетонной подготовки В10 	0,4	0	0,4	м3	1,37
189.АС.3.3802	Бетонные и ж/б конструкции	Устройство бетонных фундаментов общего назначения под колонны объемом до 3 м3 	1,1	0	1,1	м3	2,84
189.АС.5.3814	Прочие работы. устройство покрытия	Устройство подстилающих и выравнивающих слоев оснований из пескоцементной смеси	2,7	0	2,7	м3	0,137
189.АС.5.3817	Прочие работы. устройство покрытия	Устройство местных заделок из бетона В15	0,3	0	0,3	м3	4,22
189.ТС.2.3831	Изоляция	Установка металлических опорных колец и разгружающих устройств, диаметр трубопровода до 38 мм ТЕР-2001 64	2,31	0	2,31	м3	25,8
191.ВК.4.3909	Изоляционные работы.  водопровод производственно-противопожарный в2	Изоляция трубопроводов матами минераловатными марок 75, 100, плитами минераловатными на синтетическом связующем марки 75 ТЕР-2001 64	0,22	0	0,22	м3	11,4
191.КМ1.1.3974	ДОП работы	Разборка: бетонных фундаментов	23,85	0	23,85	м3	4,22
191.КМ1.3.3983	жб фундаменты под площадки. км1	Устройство бетонных фундаментов общего назначения под колонны объемом до 3 м3 ТЕР-2001 64	5	0	5	м3	2,84
191.КМ1.3.3984	жб фундаменты под площадки. км1	Устройство бетонной подготовки	0,2	0	0,2	м3	1,37
191.КМ1.3.3985	жб фундаменты под площадки. км1	Устройство бетонных фундаментов общего назначения объемом до 5 м3 ТЕР-2001 64	0,85	0	0,85	м3	2,24
191.КМ1.3.3986	жб фундаменты под площадки. км1	Устройство железобетонных фундаментов общего назначения объемом до 5 м3 ТЕР-2001 64	2	0	2	м3	3,62
191.ОФ.1.4033	Бетонные и ж/б конструкции	Устройство бетонной подготовки В10 ТЕР-2001 64	0,8	0	0,8	м3	1,37
191.ОФ.1.4034	Бетонные и ж/б конструкции	Устройство железобетонных фундаментов общего назначения под колонны объемом до 25 м3 	16,8	0	16,8	м3	2,84
191.ОФ.2.4038	Земляные работы. обратная засыпка грунта. оф	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 1 ТЕР-2001 64	16	0	16	м3	0
191.ОФ.3.4039	Земляные работы. разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1 ТЕР-2001 64	33	0	33	м3	0
191.ОФ.3.4040	Земляные работы. разработка грунта	Перемещение грунта до 30 м бульдозером 130 л.с. ТЕР-2001 64	17	0	17	м3	0
191.ОФ.3.4041	Земляные работы. разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 3 ТЕР-2001 64	986	0	986	м3	0
191.ОФ.3.4042	Земляные работы. разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3. Доработка вручную, зачистка дна и стенок с выкидкой грунта в котлованах и траншеях, разработанных механ	0,1	0	0,1	м3	2,12
191.ОФ.3.4043	Земляные работы. разработка грунта	Погрузка грунта на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 3 ТЕР-2001 64	17	0	17	м3	0
000.ЭС1.3.4146	Земляные работы. кспхг	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 2 ТЕР-2001 64	26	12,7901	13,2099	м3	1,68
000.ЭС1.3.4147	Земляные работы. кспхг	Разработка траншей экскаватором «обратная лопата» с ковшом вместимостью 0,25 м3, группа грунтов 2	840	307,77	532,23	м3	0
000.ЭС1.3.4148	Земляные работы. кспхг	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	43	43	0	м3	1,94
000.ЭС1.3.4149	Земляные работы. кспхг	Засыпка экскаватором траншей, котлованов, ям	821	394,1	426,9	м3	0
000.ДС.2.4179	Монтажные работы. внутриплощадочные сети. дс	Прокладка кабеля или провода питания на провододержателях сечением 6 мм2	0,3	0	0,3	м3	12,4
0000.БСЭ.3.4232	Подготовительные работы. скважина 50м. кспхг	Разработка грунта с перемещением до 10 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2	75	0	75	м3	0
0000.БСЭ.3.4233	Подготовительные работы. скважина 50м. кспхг	При перемещении грунта на каждые последующие 10 м добавлять к норме 01-01-030-02	75	0	75	м3	0
0000.БСЭ.3.4234	Подготовительные работы. скважина 50м. кспхг	Рытье котованов под якоря оттяжек,грунт 2 гр.	2,88	0	2,88	м3	1,68
0000.БСЭ.3.4235	Подготовительные работы. скважина 50м. кспхг	Засыпка котлованов под якоря оттяжек,грунт 3 гр.	2,88	0	2,88	м3	2,12
00.ЭС2.1.4289	Земляные  работы. разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 2	0,48	0	0,48	м3	1,68
00.ЭС2.1.4290	Земляные  работы. разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 2	0	0	0	м3	1,68
00.ЭС2.1.4291	Земляные  работы. разработка грунта	Разработка траншей экскаватором «обратная лопата» с ковшом вместимостью 0,25 м3, группа грунтов 2	23,52	0	23,52	м3	0
00.ЭС2.6.4305	Земляные работы. засыпка грунта	Обратная засыпка грунта экскаватором с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	23,52	0	23,52	м3	0
00.ЭС2.6.4306	Земляные работы. засыпка грунта	Обратная засыпка грунта экскаватором с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0	0	0	м3	0
00.ЭС2.6.4307	Земляные работы. засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	0,48	0	0,48	м3	1,94
000.ЭХЗ.2.4329	Кабельные линии	Устройство основания под трубопроводы песчаного	37,8	0	37,8	м3	0,95
000.ЭХЗ.4.4343	Земляные работы. разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 2	30,52	0	30,52	м3	1,68
000.ЭХЗ.4.4344	Земляные работы. разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,25 м3, группа грунтов 2	1495,48	0	1495,48	м3	0
000.ЭХЗ.5.4345	Земляные работы. засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	30,52	0	30,52	м3	1,94
000.ЭХЗ.5.4346	Земляные работы. засыпка грунта	Засыпка грунта  экскаватором с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	1495,48	0	1495,48	м3	0
000.ЭХЗ.6.4349	Анодные заземления	Устройство бетонных фундаментов общего назначения под колонны объемом до 3 м3	1,8	0	1,8	м3	0,0422
190АС.7.32	Дополнительные работы	Монтаж закладных деталей 200х200 на фундамент Фом 4 (отсутствуют закладные)	2	0	2	шт	0,31
190АС.7.33	Дополнительные работы	Очистка бетонного состава с закладных деталей по фундаменту Фом4	2	0	2	шт	0,12
190АС.7.34	Дополнительные работы	Нанесение преобразователя ржавчины на поверхность фундаментных анкеров (очистка металлическими щетками)	136	0	136	шт	0,18
190АС.8.40	Металлические конструкции	Сверление кольцевыми алмазными сверлами в ж/б вертикальных отверстий гл. 200 мм д. до 20 мм	76	0	76	шт	0,68
190АС.8.41	Металлические конструкции	Постановка анкерных болтов Анкер-шпилька НSA М12/225 HILTI	76	0	76	шт	0,17
190АС.8.42	Металлические конструкции	Сверление кольцевыми алмазными сверлами вертикальных отверстий гл. 200 мм (доп. узлы)	12	0	12	шт	0,68
190АС.8.43	Металлические конструкции	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины отверстия	12	0	12	шт	0,034
190АС.9.45	Площадки ПлМ1	Постановка анкерных болтов Анкер-шпилька НST3 М16x170 70/50	20	0	20	шт	0,26
190АС.9.47	Площадки ПлМ1	Постановка анкерных болтов Анкер-шпилька НSA М12/225 HILTI (М12х180)	20	0	20	шт	0,17
190АС.9.49	Площадки ПлМ1	Постановка анкерных болтов М12х180	92	0	92	шт	0,17
202АС.2.70	Демонтажные работы	Демонтаж козырьков крылец м/к, площадью 6,6м2	3	0	3	шт	18,4
202АС.2.71	Демонтажные работы	Демонтаж крылец бетон, при помощи отбойных молотков из бетона марки: 200, V=10,3м3	3	0	3	шт	31,3
202АС.2.77	Демонтажные работы	Демонтаж подоконников	14	0	14	шт	0,19
202АС.2.78	Демонтажные работы	Демонтаж дверей "ДПМ Пульс"	5	0	5	шт	0,52
202АС.2.79	Демонтажные работы	Демонтаж дверей "ДСКН ЛП"	3	0	3	шт	0,52
202АС.5.96	Фундаментные работы	Устройство крылец по РД (Монолитные бетонные работы)	3	0	3	шт	18,4
202АС.7.121	Кровельные примыкания	Сверление в ж/б конструкциях горизонтальных отверстий глубина 25 мм диаметр 12 мм	210	0	210	шт	0,11
202АС.7.122	Кровельные примыкания	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий кровли	210	0	210	шт	0,038
202АС.10.139	Козырьки и крыльца	Сверление кольцевыми алмазными сверлами в ж/б горизонтальных отверстий гл. 200 мм д. 20 мм	18	0	18	шт	0,72
202АС.11.151	Заполнение проемов	Монтаж подоконников	14	0	14	шт	0,48
202АС.11.154	Заполнение проемов	Монтаж дверей "ДПМ Пульс"	5	0	5	шт	1,85
202АС.11.155	Заполнение проемов	Монтаж дверей "ДСКН ЛП"	3	0	3	шт	1,85
202АС.11.156	Заполнение проемов	Замена ручек дверей, замков (частично сломаны, частично потеряны ключи)	15	0	15	шт	0,38
202АС.17.178	Козырьки	Сверление кольцевыми алмазными сверлами в железобетонных конструкциях глубиной 200 мм диаметром 20 мм (доп. узлы козырьков)	18	0	18	шт	0,72
202АС.17.179	Козырьки	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий узлов козырьков	18	0	18	шт	0,038
202АС.17.180	Козырьки	Постановка анкерных болтов ТЕР-2001 64 (Официальный сметный предел количества крепежа)	132	0	132	шт	0,17
202АС.17.184	Козырьки	Сверление кольцевыми алмазными сверлами в железобетонных конструкциях вертикальных отверстий глубиной 200 мм диаметром 20 мм (доп. узлы козырьков)	18	0	18	шт	0,68
202АС.17.185	Козырьки	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий узлов козырьков	18	0	18	шт	0,038
202АС.17.186	Козырьки	Постановка анкерных болтов ТЕР-2001 64 (Официальный сметный предел количества крепежа)	132	0	132	шт	0,17
АС4.2.199	Фундаментные работы	Монтаж Блоки бетонные стен подвалов сплошные (ГОСТ13579-78) ФБС12-4-6-Т /бетон В7,5 (М100) (под ступени)	2	0	2	шт	0,54
АС4.2.200	Фундаментные работы	Сверление кольцевыми алмазными сверлами в ж/б конструкциях вертикальных отверстий глубиной 200 мм диаметром 20 мм (под анкеры ФБС)	4	0	4	шт	0,68
АС4.2.201	Фундаментные работы	Установка анкер-шпилек HST M8х95/30 арт.00371582	4	0	4	шт	0,17
АС4.2.202	Фундаментные работы	Восстановление бетонной подливки под опоры эстакады	20	0	20	шт	0,58
АС4.2.203	Фундаментные работы	Ремонт ж/б фундаментов эстакады	20	0	20	шт	4,62
АС4.6.220	Дополнительные работы	Выравнивание колонн эстакады на участке 2-2а (Устранение прогибов стоек по протоколу № ГИ-0074)	6	0	6	шт	8,4
АС7.2.239	Фундаментные работы	Монтаж ж/б фундаментов Ф1 - 3шт. (усасток эстакады 5-6)	3	0	3	шт	4,56
АС7.2.245	Фундаментные работы	Устройство контргаек	98	0	98	шт	0,085
АС7.6.268	Дополнительные работы	Выравнивание колонн эстакады 5г-4а, 5в-13а (Устранение прогибов стоек по протоколу № ГИ-0073)	13	0	13	шт	8,4
191АС.2.286	Демонтажные работы	Демонтаж стеновых сэндвич-панелей в осях 10/А-Г для монтажа оборудования (ПС7=16шт)	16	0	16	шт	0,94
191АС.4.309	Фундаментные работы	Сверление кольцевыми алмазными сверлами в ж/б конструкциях вертикальных отверстий гл. 200 мм д. 20 мм (Резерв НЗС)	0	0	0	шт	0,68
191АС.6.312	Фундаментные работы	Укладка балок фундаментных длиной до 6 м на проектные отметки (Резерв НЗС)	0	0	0	шт	1,85
191АС.10.331	Кровельный этап	Установка панелей перекрытий/покрытий с опиранием на 2 стороны площадью до 10 м2	4	0	4	шт	1,18
191АС.17.385	Система фальшполов	Сверление кольцевыми алмазными сверлами в ж/б вертикальных отверстий глубиной 200 мм д. 20 мм	40	0	40	шт	0,68
191АС.17.386	Система фальшполов	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины отверстий фальшпола	40	0	40	шт	0,034
191АС.17.387	Система фальшполов	Постановка и фиксация анкеров в готовые отверстия плит пола под стойки	40	0	40	шт	0,17
188-ТХ.3.439	Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=160 л/ч Р =160 кгс/см2. Коэффициент демонтажа К=О,7	12	0	12	шт	11,9
188-ТХ.3.440	Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=500 л/ч Р =160 кгс/см2. Коэффициент демонтажа К=О,7	2	0	2	шт	16,8
188-ТХ.3.441	Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=10000 л/ч Р =10 кгс/см2 Коэффициент демонтажа К=О,7	1	0	1	шт	29,4
188-ТХ.3.442	Дополнительные работы (демонтаж)	Демонтаж клапана регулирующего с элекгроприводом, фланцевого DN 25 PN 1,6 МПа.	1	0	1	шт	1,82
188-ТХ.3.443	Дополнительные работы (демонтаж)	Демонтаж крана шарового с элекгроприводом, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,7	14	0	14	шт	1,82
188-ТХ.3.444	Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,7	14	0	14	шт	2,45
188-ТХ.3.445	Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 80 PN 1,6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	3,92
188-ТХ.3.446	Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 50 PN 1,6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	2,8
188-ТХ.3.447	Дополнительные работы (демонтаж)	Клапан сбросной с ручным управлением DN 200 PN 0.6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	4,55
188-ТХ.3.448	Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением с концами под приварку DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	27	0	27	шт	0,83
188-ТХ.3.449	Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 15 PN 1,6 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	0,53
188-ТХ.3.450	Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,5	5	0	5	шт	0,59
188-ТХ.3.451	Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	57	0	57	шт	0,83
188-ТХ.3.452	Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 50 PN 16 МПа. Коэффициент демонтажа К=О,5	4	0	4	шт	0,95
188-ТХ.3.453	Дополнительные работы (демонтаж)	Демонтаж затвора обратного поворотного, фланцевого DN 50 PN 4,0 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	1,18
188-ТХ.3.454	Дополнительные работы (демонтаж)	Демонтаж клапана регулирующего с ручным  управлением, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	0,59
188-ТХ.3.455	Дополнительные работы (демонтаж)	Демонтаж капана обратного, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	14	0	14	шт	0,83
188-ТХ.3.456	Дополнительные работы (демонтаж)	Демонтаж задвююш клиновой с ручным управлением, фланцевой DN 50 PN 1,6 МПа.Коэффициент демонтажа К=0,5	2	0	2	шт	0,91
188-ТХ.3.457	Дополнительные работы (демонтаж)	Демонтаж задвижки клиновой с ручным управлением, фланцевой DN 80 PN 1,6 МПа. Коэффициент демонтажа К=0,5	3	0	3	шт	1,32
188-ТХ.5.464	Монтаж оборудования	Клапан аварийный сбросной с ручным управлением Ду 200, климатическое исполнение У1 АСК 200-1,6 У1 ТУ 3742-043-96950580-2016 (Н=0м)	1	0	1	шт	6,5
188-ТХ.6.465	Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 25 мм 	133	0	133	шт	1,18
188-ТХ.6.466	Монтаж трубопроводов и арматуры	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 10 мм 	33	0	33	шт	0,84
188-ТХ.6.467	Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 15 мм 	1	0	1	шт	1,06
188-ТХ.6.468	Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 80 мм 	4	0	4	шт	2,64
188-ТХ.6.469	Монтаж трубопроводов и арматуры	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм 	8	0	8	шт	1,82
051-ТХ.2.487	Монтаж оборудования	Монтаж аппарата горизонтального цельносварного с коническим неотбортованным днищем V-50м3 Ру0,07МПа, весом 7,675т 	3	0	3	шт	64,3
051-ТХ.3.488	Монтаж арматуры и трубопроводов	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа. Диаметр условного прохода, мм 10 ТЕРм-2001 64	3	0	3	шт	0,92
051-ТХ.3.489	Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм ТЕРм-2001 64	6	0	6	шт	2,64
051-ТХ.3.490	Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	6	0	6	шт	1,82
051-ТХ.3.491	Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 100 мм ТЕРм-2001 64	6	0	6	шт	3,41
051-ТХ.3.492	Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 150 мм ТЕРм-2001 64	3	0	3	шт	5,12
051-ТХ.3.494	Монтаж арматуры и трубопроводов	Монтаж клапана сбросного КС.000.00 ТЕРм-2001 64	1	0	1	шт	2,84
051-ТХ.5.518	Демонтаж оборудования	Резервуар стальной горизонтальный лоя нефтепродуктов надземной установки с оборудованием V=50м3. 	3	0	3	шт	64,3
051-ТХ.5.519	Демонтаж оборудования	Бачок мерный	1	0	1	шт	2,4
051-ТХ.5.523	Демонтаж оборудования	Резервуар стальной горизонтаьный для нефтепродуктов надземной установки с оборудованием V=5м3	1	0	1	шт	34,1
000-ИК1.2.528	Демонтаж арматуры вне здания на высоте	"Технологическая часть (Демонтаж)
Демонтаж трубопровода вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду 50"	1	0	1	шт	0,95
000-ИК1.2.529	Демонтаж арматуры вне здания на высоте	"Технологическая часть (Демонтаж)
Демонтаж трубопровода вне здания на высоте Кран КСМ-35-3 Ду80"	1	0	1	шт	1,32
000-ИК1.4.543	Монтаж арматуры и трубопроводов. тепловые сети т1, т2	Диамометр до 100м	34	0	34	шт	0,124
000-ИК1.5.551	Монтаж арматуры и трубопроводов. тк1	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 10 мм ТЕРм-2001 64	1	0	1	шт	0,92
000-ИК1.5.552	Монтаж арматуры и трубопроводов. тк1	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	1	0	1	шт	1,82
000-ИК1.6.579	Монтаж оборудования. тк1	Арматура фланцевая с электрическим приводом на условное давление до 4 МПа, диаметр условного прохода 80 мм. 	1	0	1	шт	5,62
000-ИК1.7.580	Прочие работы	Монтаж заземляющих устройств 	51	0	51	шт	1,24
