"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Арматура и трубопроводы	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 141+2-гр.4 ТЕР-2001 64	1,43	0	1,43	100 м	3,85
Огнезащита	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	2,2	0	2,2	10 м	2,1
Приборы	Установка регистров из стальных сварных труб диаметром нитки 100 мм 6+5+6+32+8+54+15+14+12+9+10+40+6-гр.4 ТЕР-2001 64	0,09	0	0,09	100 м	124
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	0,8	0	0,8	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	0,8	0	0,8	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	0,5	0	0,5	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	1,3	0	1,3	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	2,8	0	2,8	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	6	0	6	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	3	0	3	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	16,5	0	16,5	10 м	2,1
Заземление. ПС	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,2	0	0,2	100 м	45,6
Кабельные проводки. ПС	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим. На высоте до 15 м, применен коэффициент к нормам затрат труда - 1,1.	0,4	0	0,4	100 м	26,95
Кабельные проводки. ПС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 2 кг. Производство работ на высоте свыше 2 до 8 м, применен коэффициент к нормам 	2	0	2	100 м	14,75
Кабельные проводки. ПС	Демонтаж кабеля (Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 2 кг. Причина: кабель проложен не по проекту)	1,3	0	1,3	100 м	6,71
Кабельные проводки. ПС	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим ТЕРм-2001 64	2,15	0	2,15	100 м	24,5
Кабельные проводки. ПС	Демонтаж кабеля (Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим. Причина: кабель проложен не по проекту)	1	0	1	100 м	12,25
Кабельные проводки. ПС	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,7	0	0,7	100 м	11,4
Кабельные проводки. ПС	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2 ТЕРм-2001 64	0,2	0	0,2	100 м	5,12
Кабельные проводки. ПС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 2 кг ТЕРм-2001 64	3,5	0	3,5	100 м	13,41
Кабельные проводки. ПС	Заделка проходов при прокладке кабелей по стенам и потолкам 	0,1	0	0,1	100 м	114
Трубные проводки. ПС	Рукав металлический наружным диаметром до 48 мм ТЕРм-2001 64	0,2	0	0,2	100 м	16,8
Трубные проводки. ПС	Короб металлический по стенам и потолкам, длина 2 м ТЕРм-2001 64	0,56	0	0,56	100 м	114
Заземление. СОП	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,1	0	0,1	100 м	45,6
Кабельные проводки. СОП	Провод в коробах, сечением до 6 мм2 ТЕРм-2001 64	0,4	0	0,4	100 м	8,45
Кабельные проводки. СОП	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим ТЕРм-2001 64	0,5	0	0,5	100 м	24,5
Кабельные проводки. СОП	Кабель двух-четырехжильный по установленным конструкциям и лоткам с установкой ответвительных коробок в помещениях с нормальной средой сечением жилы до 10 мм2 ТЕРм-2001 64	1,7	0	1,7	100 м	15,8
Кабельные проводки. СОП	Заделка проходов при прокладке кабелей по стенам и потолкам ТЕРм-2001 64	0,1	0	0,1	100 м	114
Заземление	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,4	0	0,4	100 м	45,6
Кабельные проводки	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 0,5 кг 	4,12	0	4,12	100 м	16,7
Кабельные проводки	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 16 мм2 	4	0	4	100 м	8,65
Кабельные проводки	Провод по установленным стальным конструкциям и панелям, сечение до 16 мм2	39,54	0	39,54	100 м	6,45
Кабельные проводки	Демонтаж кабеля (Причина: кабель проложен не по проекту). Провод по установленным стальным конструкциям и панелям, сечение до 16 мм2 	25,3	0	25,3	100 м	3,23
Трубные проводки. СПБА	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 40 мм ТЕРм-2001 64	0,8	0	0,8	100 м	102
Трубные проводки. СПБА	Профиль перфорированный монтажный длиной 2 м ТЕРм-2001 64	0,1	0	0,1	100 м	18,2
Трубные проводки. СПБА	Рукав металлический наружным диаметром до 48 мм ТЕРм-2001 64	3,2	0	3,2	100 м	16,8
Кабельные проводки. СС	Снятие с кабеля верхнего джутового покрова, масса 1 м кабеля до 9 кг ТЕРм-2001 64	0,3	0	0,3	100 м	4,56
Кабельные проводки. СС	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 35 мм2 ТЕРм-2001 64	0,1	0	0,1	100 м	11,4
Кабельные проводки. СС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 2 кг ТЕРм-2001 64	1,95	0	1,95	100 м	14,2
Кабельные проводки. СС	Провод в коробах, сечением до 35 мм2 ТЕРм-2001 64	0,6	0	0,6	100 м	15,4
Трубные проводки. СС	Короб металлический по стенам и потолкам, длина 2 м ТЕРм-2001 64	0,6	0	0,6	100 м	114
Трубные проводки. СС	Труба стальная для слаботочных сетей, требующих экранирования, в готовых бороздах и перекрытиях, диаметр до 50 мм ТЕРм-2001 64	0,03	0	0,03	100 м	54,2
Заземление . ЭМ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	1,78	0	1,78	100 м	45,6
Заземление . ЭМ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	2,1	0	2,1	100 м	45,6
Заземление . ЭМ	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 ТЕРм-2001 64	4,5	0	4,5	100 м	38,4
Заземление . ЭМ	Проводник заземляющий открыто по строительным основаниям из круглой стали диаметром 12 мм ТЕРм-2001 64	0,3	0	0,3	100 м	31,2
Кабельные проводки. ЭМ	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 70 мм2 ТЕРм-2001 64	0,3	0	0,3	100 м	14,2
Кабельные проводки. ЭМ	Демонтаж кабеля. Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг   (Причина: кабель проложен не по проекту)	45,65	0	45,65	100 м	7,88
Кабельные проводки. ЭМ	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг 	74,15	0	74,15	100 м	15,76
Кабельные проводки. ЭМ	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 3 кг ТЕРм-2001 64	0,32	0	0,32	100 м	12,1
Кабельные проводки. ЭМ	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 2 кг ТЕРм-2001 64	0,02	0	0,02	100 м	12,1
Кабельные проводки. ЭМ	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	12,18	0	12,18	100 м	11,4
Кабельные проводки. ЭМ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 3 кг ТЕРм-2001 64	1,05	0	1,05	100 м	15,8
Кабельные проводки. ЭМ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 2 кг ТЕРм-2001 64	0,12	0	0,12	100 м	14,2
Кабельные проводки. ЭМ	Демонтаж кабеля. Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг  (Причина: кабель проложен не по проекту)	35,65	0	35,65	100 м	6,2
Кабельные проводки. ЭМ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	35,65	0	35,65	100 м	12,4
Кабельные проводки. ЭМ	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,09	0	0,09	100 м	16,7
Кабельные проводки. ЭМ	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 0,5 кг ТЕРм-2001 64	2,37	0	2,37	100 м	16,7
Трубные проводки. ЭМ	Труба стальная по установленным конструкциям, по стенам с креплением скобами, диаметр до 25 мм ТЕРм-2001 64	0,38	0	0,38	100 м	68,4
Трубные проводки. ЭМ	Труба стальная по установленным конструкциям, по стенам с креплением скобами, диаметр до 40 мм ТЕРм-2001 64	0,08	0	0,08	100 м	102
Трубные проводки. ЭМ	Труба стальная по установленным конструкциям, по фермам, колоннам и другим стальным конструкциям, диаметр до 40 мм ТЕРм-2001 64	3,8	0	3,8	100 м	118
Трубные проводки. ЭМ	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, в готовых бороздах, диаметр до 25 мм ТЕРм-2001 64	4,66	0	4,66	100 м	54,2
Трубные проводки. ЭМ	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, в готовых бороздах, диаметр до 40 мм ТЕРм-2001 64	0,12	0	0,12	100 м	74
Трубные проводки. ЭМ	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, в готовых бороздах, диаметр до 50 мм ТЕРм-2001 64	0,1	0	0,1	100 м	85,6
Трубные проводки. ЭМ	Рукав металлический наружным диаметром до 48 мм ТЕРм-2001 64	0,91	0	0,91	100 м	16,8
Трубные проводки. ЭМ	Рукав металлический наружным диаметром до 78 мм ТЕРм-2001 64	0,02	0	0,02	100 м	24
Трубные проводки. ЭМ	Профиль перфорированный монтажный длиной 2 м ТЕРм-2001 64	0,4	0	0,4	100 м	18,2
Трубные проводки. ЭМ	Короб металлический по стенам и потолкам, длина 2 м ТЕРм-2001 64	0,15	0	0,15	100 м	114
Трубные проводки. ЭМ	Труба стальная по установленным конструкциям, в готовых бороздах, по основанию пола, диаметр до 25 мм ТЕРм-2001 64	0,3	0	0,3	100 м	51,2
Покрытие площадки	Установка бортовых камней бетонных при других видах покрытий ТЕР-2001 64	0,72	0	0,72	100 м	37
Покрытие	Установка бортовых камней бетонных: при цементобетонных покрытиях 	0,35	0	0,35	100 м	37
Монтажные работы	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,25	0	0,25	100 м	12,4
Монтажные работы	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,3	0	0,3	100 м	11,4
Монтажные работы	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм ТЕРм-2001 64	0,3	0	0,3	100 м	84,5
Монтажные работы	Профиль перфорированный монтажный длиной 2 м ТЕРм-2001 64	0,02	0	0,02	100 м	18,2
Монтажные работы	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление до 10 МПа на соединениях разъемных, диаметр наружный 22 мм ТЕРм-2001 64	0,015	0	0,015	1000 м	1060
Монтажные работы	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление до 10 МПа на соединениях сварных, диаметр наружный 22 мм ТЕРм-2001 64	0,015	0	0,015	1000 м	1060
Монтажные работы	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 ТЕРм-2001 64	0,05	0	0,05	100 м	38,4
Монтажные работы	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,1	0	0,1	100 м	45,6
Иозляция	Изоляция трубопроводов изделиями из вспененного каучука ("К-флекс") трубками 	0,135	0	0,135	10 м	2,1
Иозляция	Изоляция трубопроводов изделиями из вспененного каучука ("К-флекс")  пластинами (плитами) 	1,453	0	1,453	10 м	14,2
Покрытие площадки	Установка бортовых камней бетонных при других видах покрытий ТЕР-2001 64	0,5	0	0,5	100 м	37
Заземление. АТ	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 ТЕРм-2001 64	0,2	0	0,2	100 м	38,4
Заземление. АТ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,6	0	0,6	100 м	45,6
Кабельные проводки. АТ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг ТЕРм-2001 64	1,25	0	1,25	100 м	12,4
Трубные проводки. АТ	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление до 10 МПа на соединениях разъемных, диаметр наружный 10 мм ТЕРм-2001 64 1000 м	0,003	0	0,003	1000 м	1060
Трубные проводки. АТ	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление свыше 10 МПа на соединениях разъемных, диаметр наружный 15 мм ТЕРм-2001 64	0,035	0	0,035	1000 м	1060
Трубные проводки. АТ	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление свыше 10 МПа на соединениях сварных, диаметр наружный 15 мм ТЕРм-2001 64	0,015	0	0,015	1000 м	1240
Изоляционные работы	Изоляция трубопроводов изделиями из вспененного каучука , вспененного полиэтилена трубками ТЕР-2001 64	0,1	0	0,1	10 м	2,1
Изоляционные работы	Изоляция трубопроводов изделиями из вспененного каучука , вспененного полиэтилена пластинами (плитами) ТЕР-2001 64	0,154	0	0,154	10 м	14,2
Заземление. АТ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,34	0	0,34	100 м	45,6
Кабельные проводки. АТ	Электрические проводки в щитах и пультах шкафных и панельных ТЕРм-2001 64	0,4	0	0,4	100 м	18,5
Заземление	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,25	0	0,25	100 м	45,6
Кабельные проводки	Демонтаж кабеля (Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 1 кг). Непроектный кабель, ¶перемонтаж. Проложен КВИПнг 2х2х1,0 	1,1	0	1,1	100 м	32,4
Кабельные проводки	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 1 кг 	1,1	0	1,1	100 м	8,64
Кабельные проводки	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	3,1	0	3,1	100 м	11,4
Кабельные проводки	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,5	0	0,5	100 м	11,4
Конструкции металлические кабельные	Рукав металлический наружным диаметром до 48 мм ТЕРм-2001 64	2,2	0	2,2	100 м	16,8
Монтаж приборов	Прокладка капилляров манометрических приборов ТЕРм-2001 64	1,8	0	1,8	10 м	2,4
Монтаж арматуры и трубопроводов. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 63 мм ТЕР-2001 64	0,05	0	0,05	100 м	15,4
Монтаж арматуры и трубопроводов. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 25 мм ТЕР-2001 64	0,09	0	0,09	100 м	54,2
Монтаж арматуры и трубопроводов. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 50 мм ТЕР-2001 64	0,28	0	0,28	100 м	74
Монтаж арматуры и трубопроводов. Водопровод производственно-противопожарный В2	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм ТЕР-2001 64	0,37	0	0,37	100 м	3,85
Монтаж арматуры и трубопроводов. Водопровод хозяйственно питьевой В1	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 20 мм ТЕР-2001 64	0,28	0	0,28	100 м	11,2
Монтаж арматуры и трубопроводов. Водопровод хозяйственно питьевой В1	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 32 мм ТЕР-2001 64	0,18	0	0,18	100 м	12,5
Монтаж арматуры и трубопроводов. Водопровод хозяйственно питьевой В1	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 63 мм ТЕР-2001 64	0,05	0	0,05	100 м	15,4
Монтаж арматуры и трубопроводов. Канализация бытовая К1	Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром 50 мм ТЕР-2001 64	0,12	0	0,12	100 м	18,4
Монтаж арматуры и трубопроводов. Канализация бытовая К1	Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром 100 мм ТЕР-2001 64	0,17	0	0,17	100 м	24,5
Монтаж арматуры и трубопроводов. Канализация производственная К3	Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром 50 мм ТЕР-2001 64	0,2	0	0,2	100 м	18,4
Монтаж арматуры и трубопроводов. Трубопровод горячей воды для горячего водоснабжения - подающий ТЗ	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 20 мм ТЕР-2001 64	0,19	0	0,19	100 м	11,2
Монтаж трубопроводов. ГТ	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 10 мм	0,002	0	0,002	1000 м	450
Монтаж трубопроводов. ГТ	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 32 мм	0,0009	0	0,0009	1000 м	612
Монтаж трубопроводов. ГТ	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 32 мм	0,017	0	0,017	1000 м	612
Монтаж арматуры и трубопроводов	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм ТЕР-2001 64	0,12	0	0,12	100 м	51,2
Монтаж арматуры и трубопроводов	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 18 мм ТЕРм-2001 64	0,3	0	0,3	100 м	24
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 50 мм ТЕР-2001 64	0,04	0	0,04	100 м	74
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 65 мм (76х3) ТЕР-2001 64	0,1	0	0,1	100 м	74
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 65 мм (76х4) ТЕР-2001 64	0,03	0	0,03	100 м	74
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 18 мм ТЕРм-2001 64	0,03	0	0,03	100 м	24
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 18 мм ТЕРм-2001 64	0,01	0	0,01	100 м	24
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм ТЕР-2001 64	0,15	0	0,15	100 м	51,2
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (25х2) ТЕР-2001 64	2,4	0	2,4	100 м	54,2
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (Т25х2) ТЕР-2001 64	0,24	0	0,24	100 м	54,2
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления из стальных водогазопроводных неоцинкованных труб диаметром 20 мм (20х2,8) ТЕР-2001 64	0,04	0	0,04	100 м	51,2
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (32х2,5) ТЕР-2001 64	0,33	0	0,33	100 м	65
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (Т32х2,5) ТЕР-2001 64	0,07	0	0,07	100 м	65
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 25 мм (ц-р 25х3,2) ТЕР-2001 64	0,07	0	0,07	100 м	54,2
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (38х2) ТЕР-2001 64	0,15	0	0,15	100 м	65
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (45х2) ТЕР-2001 64	0,01	0	0,01	100 м	65
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 15+264+4+40+7+15+1+4-гр.4 ТЕР-2001 64	3,5	0	3,5	100 м	3,85
Монтаж арматуры и трубопроводов. Отопление и теплоснабжение	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 100 мм 10+3-гр.4 ТЕР-2001 64	0,13	0	0,13	100 м	4,2
Монтаж арматуры и трубопроводов. Приточные установки	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм ТЕР-2001 64	0,35	0	0,35	100 м	65
Монтаж арматуры и трубопроводов. Приточные установки	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (45х2) ТЕР-2001 64	0,55	0	0,55	100 м	65
Монтаж арматуры и трубопроводов. Приточные установки	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 50 мм (57х2,8) ТЕР-2001 64	0,11	0	0,11	100 м	74
Монтаж арматуры и трубопроводов. Приточные установки	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм ТЕР-2001 64	0,15	0	0,15	100 м	51,2
Монтаж арматуры и трубопроводов. Приточные установки	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 15+35+55+11-гр.4 ТЕР-2001 64	1,16	0	1,16	100 м	3,85
Монтаж приборов. Отопление и теплоснабжение	Установка регистров из стальных сварных труб диаметром нитки 100 мм 12+2+6+13,5-гр.4 ТЕР-2001 64	0,335	0	0,335	100 м	124
Огнезащита. Вентиляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	3	0	3	10 м	2,1
Теплоизоляция. Отопление и теплоснабжение	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	0,4	0	0,4	10 м	2,1
Теплоизоляция. Отопление и теплоснабжение	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	1,3	0	1,3	10 м	2,1
Теплоизоляция. Отопление и теплоснабжение	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	1	0	1	10 м	2,1
Теплоизоляция. Отопление и теплоснабжение	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	1,6	0	1,6	10 м	2,1
Теплоизоляция. Приточные установки	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	3,5	0	3,5	10 м	2,1
Теплоизоляция. Приточные установки	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	5,5	0	5,5	10 м	2,1
Теплоизоляция. Приточные установки	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками ТЕР-2001 64	1,1	0	1,1	10 м	2,1
Заземление. ПС	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,2	0	0,2	100 м	45,6
Кабельные проводки. ПС	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2 ТЕРм-2001 64	0,2	0	0,2	100 м	5,12
Кабельные проводки. ПС	Заделка проходов при прокладке кабелей по стенам и потолкам ТЕРм-2001 64	0,1	0	0,1	100 м	114
Трубные проводки. ПС	Рукав металлический наружным диаметром до 48 мм ТЕРм-2001 64	0,2	0	0,2	100 м	16,8
Трубные проводки. ПС	Короб металлический по стенам и потолкам, длина 2 м ТЕРм-2001 64	3	0	3	100 м	114
Заземление. СОП	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,02	0	0,02	100 м	45,6
Кабельные проводки. СОП	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим ТЕРм-2001 64	0,1	0	0,1	100 м	24,5
Трубные проводки. СОП	Короб металлический по стенам и потолкам, длина 2 м ТЕРм-2001 64	0,8	0	0,8	100 м	114
Заземление.  СПБА	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,2	0	0,2	100 м	45,6
Кабельные проводки. СПБА	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,5	0	0,5	100 м	12,4
