"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм ТЕР-2001 64	1,5	0	1,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм ТЕР-2001 64	9,7	0	9,7	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,6 мм, диаметром до 355 мм ТЕР-2001 64	2	0	2	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,6 мм, диаметром до 450 мм ТЕР-2001 64	2,5	0	2,5	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром до 2400 мм ТЕР-2001 64	2	0	2	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм ТЕР-2001 64	0,5	0	0,5	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,5 мм, диаметром до 200 мм ТЕР-2001 64	4	0	4	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм ТЕР-2001 64	3,3	0	3,3	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,6 мм, диаметром до 355 мм ТЕР-2001 64	2,5	0	2,5	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром до 2400 мм ТЕР-2001 64	8,6	0	8,6	м2
Монтаж приборов. Отопление и теплоснабжение	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 8,81+1,47+4,29+9,83-гр.4 ТЕР-2001 64	24,4	0	24,4	м2
Огнезащита. Вентиляция	Огнезащитное покрытие металлоконструкций воздуховодов приточно-вытяжных систем составом "Файрекс-300" с пределом огнестойкости 1,0 час ТЕР-2001 64	29,2	0	29,2	м2
Огнезащита. Вентиляция	Огнезащитная пропитка ковровых изделий, тканей, занавесей составом "КЛОД-02" ТЕР-2001 64	0,7	0	0,7	м2
Огнезащита. Вентиляция	Покрытие поверхности изоляции трубопроводов стеклотканью НПГ-240С ТЕР-2001 64	20,6	0	20,6	м2
Огнезащита. Вентиляция	Окраска металлических поверхностей краской МА-15 темно-серой ТЕР-2001 64	35	0	35	м2
Огнезащита. Вентиляция	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	50,16	0	50,16	м2
Огнезащита. Вентиляция	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой ТЕР-2001 64	65,33	0	65,33	м2
Окраска трубопроводов. Отопление и теплоснабжение	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	3,83	0	3,83	м2
Окраска трубопроводов. Отопление и теплоснабжение	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 1+18,85+1,88+0,34+3,32+0,7+0,74+1,79+0,14-гр.4 ТЕР-2001 64	28,76	0	28,76	м2
Окраска трубопроводов. Отопление и теплоснабжение	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	28,76	0	28,76	м2
Окраска трубороводов. Приточные установки	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 3,52+7,78+1,97-гр.4 ТЕР-2001 64	13,27	0	13,27	м2
Окраска трубороводов. Приточные установки	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	1	0	1	м2
Окраска трубороводов. Приточные установки	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	1	0	1	м2
Теплоизоляция. Отопление и теплоснабжение	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") ТЕР-2001 64	6	0	6	м2
Лестницы,площадки,ограждения 	Устройство изоляции слоем битумного праймера ТЕР 64	1	0	1	м2
Лестницы,площадки,ограждения 	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза ТЕР 64	1	0	1	м2
Лестницы,площадки,ограждения 	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР 64	50	0	50	м2
Лестницы,площадки,ограждения 	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза ТЕР 64	50	0	50	м2
Металлические конструкции	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР 64	33	0	33	м2
Металлические конструкции	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза ТЕР 64	33	0	33	м2
Ограждение площадки	Устройство изоляции слоем битумного праймера	16	0	16	м2
Ограждение площадки	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза	16	0	16	м2
Ограждение площадки	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021	46	0	46	м2
Ограждение площадки	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза	46	0	46	м2
Покрытие площадки	Установка пароизоляционного слоя из пленки полиэтиленовой ТЕР 64	108	0	108	м2
Покрытие площадки	Покрытие площадки из сборных бетонных плит тротуарного типа 6К7 из бетона В22,5 на сульфатостойком портландцементе с заполнением швов цементно-песчаной смесью состава 1:10 ТЕР 64	12,8	0	12,8	м2
Фундаменты Фм1,Фм1	Устройство подливки из бетона В15 толщиной 20 мм ТЕР 64	0,3	0	0,3	м2
Фундаменты Фм1,Фм1	На каждые 10 мм изменения толщины добавлятьисключать ТЕР 64	0,3	0	0,3	м2
Фундаменты Фм1,Фм1	Устройство изоляции слоем битумного праймера ТЕР 64	21	0	21	м2
Фундаменты Фм1,Фм1	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза ТЕР 64	21	0	21	м2
Фундаменты Фм1,Фм1	Устройство изоляции слоем битумного праймера ТЕР 64	27	0	27	м2
Фундаменты Фм1,Фм1	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза ТЕР 64	27	0	27	м2
Бетонные и ж/б конструкции	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза 	125	125	0	м2
Бетонные и ж/б конструкции	Устройство изоляции слоем битумного праймера 	125	125	0	м2
Покрытие площадки	Покрытие площадки из сборных бетонных плит тротуарного типа 6К7 из бетона В7,5,W4 с заполнением швов цементно-песчаной смесью состава 1:10	1220	1220	0	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 ТЕР-2001 64	165	0	165	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Очистка поверхности щетками ТЕР-2001 64	4	0	4	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Обеспыливание поверхности ТЕР-2001 64	170	170	0	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	170	0	170	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм ТЕР-2001 64	170	0	170	м2
Окраска "СПЕЦПРОТЕКТ"(АС)	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм ТЕР-2001 64	170	0	170	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 ТЕР-2001 64	623	0	623	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Очистка поверхности щетками ТЕР-2001 64	16	0	16	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Обеспыливание поверхности ТЕР-2001 64	639	639	0	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	639	0	639	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм ТЕР-2001 64	639	0	639	м2
Окраска "СПЕЦПРОТЕКТ" АС1	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм ТЕР-2001 64	639	0	639	м2
Окраска Армокотом	Очистка кварцевым песком наружных поверхностей	23,7	23,38	0,32	м2
Окраска Армокотом	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом (норма ГЭСН)	23,7	23,3	0,4	м2
Окраска Армокотом	Окраска трубопроводов грунтовкой Армокот 01 с предварительной абразивной очисткой 	23,7	23,3	0,4	м2
Изоляция	Покрытие поверхности изоляции трубопроводов сталью оцинкованной ТЕР-2001 64	64,93	0	64,93	м2
Спецстройработы	Очистка поверхности щетками	2	0	2	м2
Спецстройработы	Обеспыливание поверхности (входит в норму окраски)	2	2	0	м2
Спецстройработы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом 	1,75	0	1,75	м2
Спецстройработы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом	472,05	0	472,05	м2
Спецстройработы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119	2	0	2	м2
Спецстройработы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119	2	0	2	м2
Спецстройработы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115  за 2 раза	2	0	2	м2
Оборудование	Обертка поверхности изоляции рубероидом на битуме два раза	12671,32	0	12671,32	м2
Оборудование	Обертка поверхности изоляции рубероидом на битуме один раз	12973,13	0	12973,13	м2
Оборудование	Оштукатуривание поверхности изоляции аппаратов асбоцементным раствором 	12973,13	0	12973,13	м2
Оборудование	Окраска внутренней поверхности алюминиевого покрытия лаком БТ-577 за 1 раз	5114,47	0	5114,47	м2
Трубопроводы	Покрытие поверхности изоляции трубопроводов сталью оцинкованной толщ.0,5мм	2,3	0	2,3	м2
Трубопроводы	Обертка поверхности изоляции рубероидом на битуме два раза	2,85	0	2,85	м2
Трубопроводы	Обертка поверхности изоляции рубероидом на битуме один раз 	3,43	0	3,43	м2
Трубопроводы	Оштукатуривание поверхности изоляции аппаратов асбоцементным раствором	3,43	0	3,43	м2
Трубопроводы	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа толщ. 0,8мм 	0,53	0	0,53	м2
Трубопроводы	Окраска опознавательных колец за два раза 	0,12	0	0,12	м2
Монтаж систем вентиляции	Прокладка воздуховодов 	36	0	36	м2
Спецстройработы	Масляная окраска металлических поверхностей больших (кроме кровель), за 2 раза	500	0	500	м2
Спецстройработы	Очистка поверхности щетками	28,5	0	28,5	м2
Спецстройработы	Обеспыливание поверхности (входит в норму окраски)	28,5	28,5	0	м2
Спецстройработы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом (норма ГЭСН)	28,5	0	28,5	м2
Спецстройработы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 (трубопроводов в 1й слой) 	28,5	0	28,5	м2
Спецстройработы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 (трубопроводов в 2й слой) 	28,5	0	28,5	м2
Спецстройработы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115, 2 слоя 	28,5	0	28,5	м2
Демонтаж - Прожекторная мачта ПМС-29,3	Демонтаж отмостки и  основания	9	0	9	м2
Отмостка - Прожекторная мачта ПМС-29,3	Устройство отмостки	9	0	9	м2
Окраска - Прожекторная мачта ПМС-29,3	Окраска металлоконструкций	0	0	0	м2
Демонтаж - Прожекторная мачта ПМЖ-19,3 с молниеотводом	Демонтаж покрытий из мелкозернистого асфальтобетона	0,6615	0	0,6615	м2
Отмостка - Прожекторная мачта ПМЖ-19,3 с молниеотводом	Устройство отмостки	0	0	0	м2
Демонтаж - Прожекторная мачта ПМЖ-19,3 	Демонтаж покрытий из мелкозернистого асфальтобетона	0	0	0	м2
Отмостка - Прожекторная мачта ПМЖ-19,3 	Устройство отмостки	1	0	1	м2
Демонтаж - Прожекторная мачта ПМЖ-19,3 с молниеотводом	Демонтаж покрытий из мелкозернистого асфальтобетона	0	0	0	м2
Отмостка - Прожекторная мачта ПМЖ-19,3 с молниеотводом	Устройство отмостки	1	0	1	м2
Прожекторная мачта ПМЖ-19,3 с молниеотводом	Демонтаж покрытий из мелкозернистого асфальтобетона	0	0	0	м2
Отмостка - Прожекторная мачта ПМЖ-19,3 с молниеотводом	Устройство отмостки	0	0	0	м2
Демонтаж - «Молниеотвод МС-37» 	Демонтаж отмостки и  основания	1	0	1	м2
Отмостка - «Молниеотвод МС-37» 	Устройство отмостки	0	0	0	м2
Окраска -«Молниеотвод МС-37» 	Окраска металлоконструкций	0	0	0	м2
Демонтаж -  «Молниеотвод МС-31,7»        	Демонтаж отмостки и  основания	0	0	0	м2
Отмостка -  «Молниеотвод МС-31,7»        	Устройство отмостки	0	0	0	м2
Окраска - «Молниеотвод МС-31,7»        	Окраска металлоконструкций	0	0	0	м2
Демонтаж - «Прожекторноая мачта ПМС-29,3 с молниеотводом»	Демонтаж конструкций металлических	0	0	0	м2
Монтаж - «Прожекторноая мачта ПМС-29,3 с молниеотводом»	Монтаж конструкций металлических	0	0	0	м2
Окраска - «Прожекторноая мачта ПМС-29,3 с молниеотводом»	Окраска металлоконструкций	0	0	0	м2
Демонтаж - «Молниеотвод МС-37» 	Демонтаж отмостки и  основания	1	0	1	м2
Отмостка - «Молниеотвод МС-37» 	Устройство отмостки	0	0	0	м2
Окраска - «Молниеотвод МС-37» 	Окраска металлоконструкций	0	0	0	м2
Демонтаж - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом» 	Демонтаж отмостки и  основания	0	0	0	м2
Отмостка - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом» 	Устройство отмостки	0	0	0	м2
Демонтаж - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом»	Демонтаж отмостки и  основания	0	0	0	м2
Отмостка - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом»	Устройство отмостки	1	0	1	м2
Демонтаж - «Прожекторноая мачта ПМЖ-22,8 с молниеотводом»	Демонтаж отмостки и  основания	0	0	0	м2
Отмостка - «Прожекторноая мачта ПМЖ-22,8 с молниеотводом»	Устройство отмостки	0	0	0	м2
Окраска - «Прожекторноая мачта ПМЖ-22,8 с молниеотводом»	Окраска металлоконструкций	0	0	0	м2
Демонтаж - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом»	Демонтаж мачты	0	0	0	м2
Засыпка - «Прожекторноая мачта ПМЖ-19,3 с молниеотводом»	Засыпка котлована песком с послойным уплотнением К>0,95 слоями по 200 мм	100	0	100	м2
Бетонные и ж/б конструкции	Устройство подливки из бетона кл.В20, F150 толщиной 20 мм (70мм) 	9	0	9	м2
Бетонные и ж/б конструкции	На каждые 10 мм изменения толщины добавлять 50мм	9	0	9	м2
Бетонные и ж/б конструкции	Огрунтовка фундаментов праймером 	157	0	157	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя	157	0	157	м2
Окраска	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 ТЕР-2001 64	161	0	161	м2
Окраска	Очистка поверхности щетками	4,1	0	4,1	м2
Окраска	Обеспыливание поверхности	165	0	165	м2
Окраска	Обезжиривание металлических поверхностей растворителем Р5 	165	0	165	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм	165	0	165	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм 	165	0	165	м2
Окраска арматуры	Нанесение химической смывки СП-6 за 1 раз ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Очистка гидропескоструйным аппаратом, водой за 2 раза ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Искусственная сушка ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом(нанесение преобразователя ржавчины Анкор-1) ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Обеспыливание поверхности (входит в норму окраски)	17,1	0	17,1	м2
Окраска арматуры	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм) ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз ТЕР-2001 64	17,1	0	17,1	м2
Окраска арматуры	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	17,1	0	17,1	м2
Окраска трубопроводов	Нанесение химической смывки СП-6 за 1 раз ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Очистка гидропескоструйным аппаратом, водой за 2 раза ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Искусственная сушка ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом(нанесение преобразователя ржавчины Анкор-1) ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Обеспыливание поверхности (входит в норму окраски)	4,5	0	4,5	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм) ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз ТЕР-2001 64	4,5	0	4,5	м2
Окраска трубопроводов	Нанесение химической смывки СП-6 за 1 раз ТЕР-2001 64	34,34	0	34,34	м2
Окраска трубопроводов	Очистка гидропескоструйным аппаратом, водой за 2 раза ТЕР-2001 64	34,34	0	34,34	м2
Окраска трубопроводов	Искусственная сушка ТЕР-2001 64	34,34	0	34,34	м2
Окраска трубопроводов	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом(нанесение преобразователя ржавчины Анкор-1) ТЕР-2001 64	34,34	0	34,34	м2
Окраска трубопроводов	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	34,34	0	34,34	м2
Окраска трубопроводов	Обеспыливание поверхности (входит в норму окраски)	34,34	0	34,34	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм) 	34,34	0	34,34	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	34,34	0	34,34	м2
Окраска трубопроводов	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	34,34	0	34,34	м2
Бетонные и ж/б конструкции	Устройство подливки из бетона кл.В20, F150 толщиной 20 мм (70мм) ТЕР-2001 64	2,86	0	2,86	м2
Бетонные и ж/б конструкции	На каждые 10 мм изменения толщины добавлять 50мм ТЕР-2001 64	2,86	0	2,86	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя	23	0	23	м2
Окраска	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 ТЕР-2001 64	43	0	43	м2
Окраска	Очистка поверхности щетками	1,1	0	1,1	м2
Окраска	Обеспыливание поверхности	44	0	44	м2
Окраска	Обезжиривание металлических поверхностей растворителем Р5 	44	0	44	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм	44	0	44	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм 	44	0	44	м2
Покрытие площадки	Устройство покрытия из тротуарных плит, марка 6К7 по цементно-песчаной смеси состава 1:10, толщ.50мм ТЕР-2001 64	18,5	0	18,5	м2
Окраска арматуры	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз	1,9	0	1,9	м2
Окраска арматуры	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	1,9	0	1,9	м2
Окраска арматуры	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	1,9	0	1,9	м2
Окраска трубопроводов	Очистка поверхности щетками	1,07	0	1,07	м2
Окраска трубопроводов	Обеспыливание поверхности (входит в норму окраски)	1,07	0	1,07	м2
Окраска трубопроводов	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом 	1,07	0	1,07	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз	1,07	0	1,07	м2
Окраска трубопроводов	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	1,07	0	1,07	м2
Окраска трубопроводов	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз 	1,07	0	1,07	м2
Теплоизоляция оборудования	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия 	9,47	0	9,47	м2
Теплоизоляция оборудования	Изготовление и установка на люках и фланцевых соединениях (ду>500) кожухов из оцинкованного листа марки толщиной 1мм ТЕР-2001 64	0,01	0	0,01	м2
Теплоизоляция оборудования	Окраска металлических огрунтованных поверхностей краской БТ-577 серебристой 	1,54	0	1,54	м2
Теплоизоляция оборудования	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ ТЕР-2001 64	2,94	0	2,94	м2
Теплоизоляция оборудования	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	2,01	0	2,01	м2
Теплоизоляция трубопроводов	Изготовление и установка по поверхности изоляции трубопровода покрытия из оцинкованного листа толщ.0,5	2,5	0	2,5	м2
Теплоизоляция трубопроводов	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа толщ. 0,8мм ТЕР-2001 64	1,29	0	1,29	м2
Теплоизоляция трубопроводов	Окраска металлических огрунтованных поверхностей краской БТ-577 серебристой 	0,12	0	0,12	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ХВ-124	10	0	10	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ФЛ-03К	10	0	10	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная праймером	20,2	0	20,2	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	20,2	0	20,2	м2
Бетонные и ж/б конструкции	Устройство подливки толщиной 100 мм	0,6	0	0,6	м2
Бетонные и ж/б конструкции	На каждые 10 мм изменения толщины добавлять или исключать к расценке 06-01-013-01 ТЕР-2001 64	0,6	0	0,6	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная праймером 	7,2	0	7,2	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	7,2	0	7,2	м2
Прочие работы. устройство покрытия	Устройство бетонных плитных тротуаров с заполнением швов цементным раствором 	53,8	0	53,8	м2
Ораска спецпротектом	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 	39	0	39	м2
Ораска спецпротектом	Очистка поверхности щетками	1	0	1	м2
Ораска спецпротектом	Обеспыливание поверхности (входит в норму окраски)	40,5	0	40,5	м2
Ораска спецпротектом	Обезжиривание металлических поверхностей растворителем Р5 	40,5	0	40,5	м2
Ораска спецпротектом	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм 	47,3	0	47,3	м2
Ораска спецпротектом	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм 	47,3	0	47,3	м2
Изоляция	Покрытие поверхности изоляции трубопроводов сталью оцинкованной ТЕР-2001 64	1,28	0	1,28	м2
Изоляция	Устройство на трубопроводах каркаса изоляции из проволоки ТЕР-2001 64	0,3	0	0,3	м2
Окраска АРМОКОТОМ	Очистка поверхности щетками	0,552	0	0,552	м2
Окраска АРМОКОТОМ	Обеспыливание поверхности (входит в норму окраски)	0,552	0	0,552	м2
Окраска АРМОКОТОМ	Обезжиривание металлических поверхностей растворителем Р5	0,552	0	0,552	м2
Окраска АРМОКОТОМ	Огрунтовка поверхностей за 1 раз грунтовкой "Армокот 01"	0,552	0	0,552	м2
Изоляционные работы.  водопровод производственно-противопожарный в2	Покрытие поверхности изоляции трубопроводов стеклопластиками РСТ, тканями стеклянными ТЕР-2001 64	6,8	0	6,8	м2
Окраска.  водопровод производственно-противопожарный в2	Масляная окраска металлических поверхностей решеток, переплетов, труб диаметром менее 50 мм и т.п., количество окрасок 2 ТЕР-2001 64	5,6	0	5,6	м2
Окраска.  водопровод производственно-противопожарный в2	Масляная окраска металлических поверхностей стальных балок, труб диаметром более 50 мм и т.п., количество окрасок 2 ТЕР-2001 64	39,4	0	39,4	м2
Окраска.  водопровод производственно-противопожарный в2	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	45	0	45	м2
Окраска. канализация механически загрязненных вод к4	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	18	0	18	м2
Окраска. канализация механически загрязненных вод к4	Масляная окраска металлических поверхностей стальных балок, труб диаметром более 50 мм и т.п., количество окрасок 2 ТЕР-2001 64	5	0	5	м2
Окраска. канализация механически загрязненных вод к4	Масляная окраска металлических поверхностей решеток, переплетов, труб диаметром менее 50 мм и т.п., количество окрасок 2 ТЕР-2001 64	13	0	13	м2
Окраска. ГТ	Очистка поверхности щетками	66	0	66	м2
Окраска. ГТ	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	66	0	66	м2
Окраска. ГТ	Огрунтовка металлических поверхностей за один раз грунтовкой ЭП-0259 100 м2 окрашиваемой поверхности	66	0	66	м2
Окраска. ГТ	Окраска металлических огрунтованных поверхностей эмалью ПФ-115	132	0	132	м2
Дополнительные работы	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м	166	0	166	м2
Дополнительные работы	Установка и разборка внутренних трубчатых инвентарных лесов на каждые последующие 4 м высоты помещений добавлять к норме 08-07-002-01	166	0	166	м2
Дополнительные работы	Очистка поверхности щетками ТЕР-2001 64	2514	0	2514	м2
